Class,Wk,Date,Day,Topic,Assign Out,Assign Due,Notes,Video,Related Files
20,11,2-Nov,Wed,Clustering,,,,,
21,11,4-Nov,Fri,Frequent Patterns and Associations,"A4
1.<a href = ""/cse5243/course_materials/hw/4/CSE5243_Clustering_HW_Template_V4.ipynb"">A4 Notebook</a> <br>
2.<a href =""/cse5243/course_materials/hw/4/large1_Xydf.csv"">Large1 Data</a><br>
3.<a href =""/cse5243/course_materials/hw/4/large2_Xydf.csv"">Large2 Data</a><br>
4.<a href =""/cse5243/course_materials/hw/4/small_Xydf.csv"">small_Xydf</a><br>",A3,"1.<a href = ""/cse5243/course_materials/lecture_examples/Association_Analysis.ipynb"">Association Analysis Clustering Notebook</a> ",,"1.<a href = ""https://osu.instructure.com/courses/128739/files/44449909"">Association Analysis</a> "
22,12,9-Nov,Wed,Frequent Patterns and Associations,,,,,
23,12,11-Nov,Fri,NO CLASS,,,,,
24,13,16-Nov,Wed,Anomaly Detection & Frequent Associations,,A4,,,"1.<a href = ""https://osu.instructure.com/courses/128739/modules/items/8636106"">Anomaly Detection</a> "
-,13,18-Nov,Fri,Anomaly Detection,"A5
1.<a href =""/cse5243/course_materials/hw/5/Hw5_Au2021.ipynb"">A5 Notebook</a><br>
2.<a href =""/cse5243/course_materials/hw/5/hw5_data.csv"">A5 Data</a><br>",,,,
25,14,23-Nov,Wed,NO CLASS,,,,,
-,14,25-Nov,Fri,NO CLASS,,,,,
26,15,30-Nov,Wed,Misc Topics (reinforcement learning)?,,A5,,,
27,15,2-Nov,Fri,Misc Topics,,,,,
28,16,7-Dec,Wed,Final Review (Roughly around this date),,,,,
29,17,9-Dec,Fri,Final Exam (Roughly around this date),,,,,
